example_id                                                       | status  | run_time        |
---------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:1:1:1] | passed  | 0.15549 seconds |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:1:2:1] | passed  | 0.0036 seconds  |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:1:3:1] | passed  | 0.0045 seconds  |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:1:4:1] | passed  | 0.15382 seconds |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:1:5:1] | passed  | 0.16034 seconds |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:2:1:1] | passed  | 0.15785 seconds |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:2:2:1] | passed  | 0.00353 seconds |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:3:1:1] | passed  | 0.15911 seconds |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:3:2:1] | passed  | 0.15484 seconds |
./spec/controllers/concerns/jwt_authenticatable_spec.rb[1:3:3:1] | passed  | 0.00453 seconds |
./spec/models/parts_case_spec.rb[1:1:1]                          | passed  | 0.0011 seconds  |
./spec/models/parts_case_spec.rb[1:1:2]                          | passed  | 0.00135 seconds |
./spec/models/parts_case_spec.rb[1:1:3]                          | passed  | 0.00118 seconds |
./spec/models/parts_case_spec.rb[1:1:4]                          | passed  | 0.00132 seconds |
./spec/models/parts_case_spec.rb[1:1:5]                          | passed  | 0.00145 seconds |
./spec/models/parts_case_spec.rb[1:1:6]                          | passed  | 0.00227 seconds |
./spec/models/parts_case_spec.rb[1:1:7]                          | passed  | 0.00113 seconds |
./spec/models/parts_case_spec.rb[1:2:1]                          | passed  | 0.00807 seconds |
./spec/models/parts_case_spec.rb[1:2:2]                          | passed  | 0.00046 seconds |
./spec/models/parts_cpu_spec.rb[1:1:1]                           | passed  | 0.0016 seconds  |
./spec/models/parts_cpu_spec.rb[1:1:2]                           | passed  | 0.00131 seconds |
./spec/models/parts_cpu_spec.rb[1:1:3]                           | passed  | 0.00174 seconds |
./spec/models/parts_cpu_spec.rb[1:1:4]                           | passed  | 0.0019 seconds  |
./spec/models/parts_cpu_spec.rb[1:1:5]                           | passed  | 0.00113 seconds |
./spec/models/parts_cpu_spec.rb[1:1:6]                           | passed  | 0.00123 seconds |
./spec/models/parts_cpu_spec.rb[1:1:7]                           | passed  | 0.00139 seconds |
./spec/models/parts_cpu_spec.rb[1:1:8]                           | passed  | 0.00192 seconds |
./spec/models/parts_cpu_spec.rb[1:1:9]                           | passed  | 0.00081 seconds |
./spec/models/parts_cpu_spec.rb[1:2:1]                           | passed  | 0.00059 seconds |
./spec/models/parts_cpu_spec.rb[1:2:2]                           | passed  | 0.0006 seconds  |
./spec/models/parts_cpu_spec.rb[1:3:1]                           | passed  | 0.00039 seconds |
./spec/models/parts_gpu_spec.rb[1:1:1]                           | passed  | 0.05454 seconds |
./spec/models/parts_gpu_spec.rb[1:1:2]                           | passed  | 0.00253 seconds |
./spec/models/parts_gpu_spec.rb[1:1:3]                           | passed  | 0.00163 seconds |
./spec/models/parts_gpu_spec.rb[1:1:4]                           | passed  | 0.00171 seconds |
./spec/models/parts_gpu_spec.rb[1:1:5]                           | passed  | 0.00304 seconds |
./spec/models/parts_gpu_spec.rb[1:1:6]                           | passed  | 0.00237 seconds |
./spec/models/parts_gpu_spec.rb[1:1:7]                           | passed  | 0.00246 seconds |
./spec/models/parts_gpu_spec.rb[1:2:1]                           | passed  | 0.00314 seconds |
./spec/models/parts_gpu_spec.rb[1:2:2]                           | passed  | 0.00398 seconds |
./spec/models/parts_gpu_spec.rb[1:3:1]                           | passed  | 0.02768 seconds |
./spec/models/parts_memory_spec.rb[1:1:1]                        | passed  | 0.00112 seconds |
./spec/models/parts_memory_spec.rb[1:1:2]                        | passed  | 0.00125 seconds |
./spec/models/parts_memory_spec.rb[1:1:3]                        | passed  | 0.00107 seconds |
./spec/models/parts_memory_spec.rb[1:1:4]                        | passed  | 0.00113 seconds |
./spec/models/parts_memory_spec.rb[1:1:5]                        | passed  | 0.00164 seconds |
./spec/models/parts_memory_spec.rb[1:1:6]                        | passed  | 0.01363 seconds |
./spec/models/parts_memory_spec.rb[1:2:1]                        | passed  | 0.0035 seconds  |
./spec/models/parts_memory_spec.rb[1:2:2]                        | passed  | 0.00047 seconds |
./spec/models/parts_motherboard_spec.rb[1:1:1]                   | passed  | 0.00147 seconds |
./spec/models/parts_motherboard_spec.rb[1:1:2]                   | passed  | 0.00148 seconds |
./spec/models/parts_motherboard_spec.rb[1:1:3]                   | passed  | 0.00136 seconds |
./spec/models/parts_motherboard_spec.rb[1:1:4]                   | passed  | 0.00148 seconds |
./spec/models/parts_motherboard_spec.rb[1:1:5]                   | passed  | 0.00148 seconds |
./spec/models/parts_motherboard_spec.rb[1:1:6]                   | passed  | 0.00123 seconds |
./spec/models/parts_motherboard_spec.rb[1:1:7]                   | passed  | 0.00979 seconds |
